title,severity,status_since_v1,plain_english_explanation,technical_steps_to_reproduce,suggested_fix,estimated_hours
"No password reset flow",Critical,STILL OPEN,"If someone forgets their password they are permanently locked out of their account forever. There is no 'Forgot Password' button anywhere in the app. All their saved items, messages, and listing history are gone.","1. Sign up with email. 2. Sign out. 3. Try to sign back in but pretend to forget password. 4. Look for 'Forgot Password' anywhere on the sign-in screen. 4. It does not exist.","Add sendPasswordResetEmail() in ApiService; add 'Forgot Password' link on SignInScreen; create PasswordResetScreen with email input and success/error feedback.",Low (2-4h)
"No email verification",Critical,STILL OPEN,"Anyone can create a fake account using an email address they don't own. Example: someone could make 100 accounts in minutes using random emails, flood the feed with fake listings, or harass sellers — no verification required.","1. Sign up using fake@anything.xyz. 2. Account created and fully functional. 3. No email sent. No verification required.","Call sendEmailVerification() after signup; gate feed access on emailVerified == true; show verification prompt screen before allowing activity.",Low (2-4h)
"Seller phone numbers readable by any logged-in user",Critical,STILL OPEN — LINE 24 FIRESTORE.RULES,"Every seller's private phone number can be retrieved by any person who has an account in the app — without even pressing the 'Reveal Contact' button. Anyone with the app can bulk-download every seller's phone number from the database. This is a privacy violation that could cause regulatory issues.","1. Sign in with any account. 2. Use Firestore REST API or the Firebase console to query sellers/{id}/private/contact. 3. Phone number is returned with no restriction.","Change Firestore rule for sellers/{sellerId}/private/contact from 'allow read: if isAuthenticated()' to 'allow read: if false'. All reads must go through the getSellerPhone Cloud Function which logs usage.",Low (1-2h)
"No message sending rate limit",Critical,STILL OPEN,"There is no limit on how many messages a user can send. A harasser can send thousands of messages per minute to a seller. Every message costs money in Firebase. The app has limits on photo uploads and listing creation — but zero protection on messages.","1. Open any chat conversation. 2. Write a script or tap send rapidly. 3. Hundreds or thousands of messages are accepted with no block or warning.","Add checkMessageRateLimit Cloud Function (30 messages/minute per user). Call before sendMessage() in ApiService. Copy the existing checkPublishRateLimit pattern.",Medium (4-8h)
"No way for users to delete their account",Critical,STILL OPEN,"Users cannot delete their own account or personal data. If someone wants to be removed from the platform — their profile, phone number, listings, and chats — they have to contact support and wait for a developer to do it manually in the backend.","1. Open the app. 2. Go to Profile, then Settings. 3. Search for any option to delete account or remove personal data. 4. Nothing exists.","Add 'Delete Account' button in Settings screen with a confirmation step; call FirebaseAuth.instance.currentUser.delete() and trigger a Cloud Function to erase Firestore user data, listings, and conversations.",Medium (4-8h)
"Deleted conversations leave hidden data in the database",Medium,STILL OPEN,"When a user deletes a chat, it disappears from the screen — but every individual message inside that chat stays permanently in the database, hidden and wasting storage. Like throwing away a filing cabinet but leaving all the papers inside the drawers.","1. Start a conversation and send several messages. 2. Delete the conversation from Messages screen. 3. Open Firebase Firestore console. 4. Check conversations/{id}/messages — subcollection still fully exists.","Create a Cloud Function that triggers on conversation deletion and recursively deletes all messages inside the subcollection. Use firebase-admin batch delete.",Medium (4-8h)
"Thumbnail preview images never expire",Medium,STILL OPEN — LINE 330-333 FUNCTIONS/INDEX.JS,"When a seller uploads a listing photo, the app creates a small preview image with a link that expires in the year 2099 — practically never. If a listing is deleted, that preview image link still works forever. Anyone who saved the link can still see the deleted photo.","1. Upload a listing with images and publish. 2. Check the thumbnail_url stored in Firestore — it is a signed URL with expiry 01-01-2099. 3. Delete the listing. 4. Open the thumbnail_url in a browser — image still displays.","Switch from getSignedUrl() with 2099 expiry to Firebase Storage download tokens or public download URLs with proper Storage rules. Update generateThumbnail Cloud Function.",Low (2-4h)
"App can crash if user navigates away during publishing",Medium,STILL OPEN — CONFIRMED BY FLUTTER ANALYZE,"If a user taps the Publish button on a listing and then quickly taps the back button while photos are uploading, the app has a small chance of crashing. The code quality checker flags this in 4 specific places.","1. On SellScreen, begin publishing a listing with large images. 2. While upload is in progress, tap the back button quickly. 3. Potential app crash due to code using a screen reference that no longer exists (BuildContext across async gap).","Add 'if (!mounted) return;' guard checks before UI updates after async operations in sell_screen.dart (lines 561 and 617) and preferences_screen.dart (lines 261 and 264).",Low (1-2h)
"No SSL pinning — network traffic can be intercepted",Medium,STILL OPEN,"On public WiFi (café, airport, mall), a person with special tools could potentially sit between the phone and the internet and read data being sent back and forth. This is an advanced attack but becomes a concern as Wavy grows and processes more sensitive transactions.","1. Connect test device to a local proxy (e.g. mitmproxy). 2. Launch the app. 3. Firebase SDK network traffic may be visible and readable.","Implement certificate pinning using SecurityContext or a plugin like flutter_security_advisory targeted at Firebase endpoints.",Medium (4-8h)
"Developer test data tool left in production code",Medium,STILL OPEN,"There is a function called migrateDummyData() in the production app code that was originally used during development to fill the app with fake test products. It still exists and could accidentally be called, which would mix test listings into the real user feed.","1. Open lib/src/data/api_service.dart. 2. Search for migrateDummyData() — it is present and callable.","Remove migrateDummyData() from ApiService entirely, or gate it behind a debug-only flag that evaluates to false in all production builds.",Low (1h)
